ingest_date,district,bedrooms,currency,listing_count,avg_price,median_price,min_price,max_price,avg_area_m2,median_price_per_m2,new_listing_count,removed_listing_count,price_changed_count,offer_change_pct,calculated_at
2026-07-14,Surquillo,2,PEN,16,2309.38,2300,1700,2700,59.25,36.76,16,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Surquillo,3,PEN,8,2768.75,2700,2500,3200,78,34.62,8,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Surquillo,4,PEN,1,4300,4300,4300,4300,179,24.02,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Tambo De Monterrico,1,PEN,1,1250,1250,1250,1250,30,41.67,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Tambo De Monterrico,3,PEN,1,4000,4000,4000,4000,106,37.74,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Tejada Alta,1,PEN,1,2500,2500,2500,2500,44,56.82,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Tejadita,2,PEN,1,1600,1600,1600,1600,78,20.51,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Tejadita,3,PEN,1,5100,5100,5100,5100,139,36.69,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Tradiciones Ricardo Palma,2,PEN,1,1300,1300,1300,1300,62,20.97,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Tupac Amaru,4,PEN,1,2300,2300,2300,2300,128,17.97,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Umamarca,2,PEN,1,1200,1200,1200,1200,75,16,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Valle Hermoso,2,PEN,1,2100,2100,2100,2100,60,35,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Valle Hermoso,3,PEN,4,3325,3300,3000,3500,109.25,27.27,4,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Valle Hermoso Oeste,2,PEN,1,3100,3100,3100,3100,89,34.83,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Villa Del Norte,2,PEN,1,1250,1250,1250,1250,80,15.63,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Villa El Contador,4,PEN,1,2000,2000,2000,2000,90,22.22,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Villa El Salvador,1,PEN,1,1700,1700,1700,1700,48,35.42,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Villa El Salvador,2,PEN,3,1316.67,1200,850,1900,62.67,22.22,3,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Villa El Salvador,3,PEN,1,1500,1500,1500,1500,120,12.5,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Villa Hiper,3,PEN,1,1500,1500,1500,1500,120,12.5,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Villa Los Angeles,2,PEN,1,1300,1300,1300,1300,80,16.25,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Villa Naval De San Luis,1,PEN,1,1800,1800,1800,1800,60,30,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Villa Sol Etapa Iv,2,PEN,1,900,900,900,900,65,13.85,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Vipep,3,PEN,1,3200,3200,3200,3200,80,40,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Vista Alegre,1,PEN,1,680,680,680,680,12,56.67,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Vista Alegre,2,PEN,1,2600,2600,2600,2600,80,32.5,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Viña San Francisco,2,PEN,1,1500,1500,1500,1500,55,27.27,1,0,0,null,2026-07-14T01:25:15.299954Z
2026-07-14,Zarate,3,PEN,1,1750,1750,1750,1750,125,14,1,0,0,null,2026-07-14T01:25:15.299954Z
